Region,Tower_ID,Date,Call_Drops,Signal_Strength,Congestion_Level,Handoff_Failure,Notes
Mumbai,T633,2025-03-17,137,-80 dBm,High,9%,Backhaul congestion
Bangalore,T414,2025-07-10,38,-77 dBm,High,10%,Maintenance activity
Kolkata,T179,2025-12-06,35,-78 dBm,Low,3%,Poor weather
Kolkata,T951,2025-10-06,123,-97 dBm,Medium,7%,Heavy user load
Mumbai,T685,2025-03-27,132,-82 dBm,High,3%,Backhaul congestion
Kolkata,T395,2025-06-13,108,-92 dBm,Low,16%,Fiber issue detected
Bangalore,T775,2025-01-23,133,-104 dBm,High,2%,Poor weather
Chennai,T555,2025-10-23,10,-100 dBm,Medium,11%,Maintenance activity
Kolkata,T186,2025-04-09,17,-82 dBm,Medium,15%,Peak hour traffic
Chennai,T978,2025-09-18,56,-78 dBm,Medium,9%,Normal operation
Chennai,T346,2025-03-07,83,-108 dBm,Medium,15%,Heavy user load
Bangalore,T411,2025-06-27,46,-83 dBm,Low,10%,Peak hour traffic
Chennai,T169,2025-07-13,124,-96 dBm,Low,14%,Power fluctuation
Mumbai,T954,2025-11-30,145,-74 dBm,Medium,9%,Maintenance activity
Mumbai,T667,2025-07-11,39,-71 dBm,High,18%,Backhaul congestion
Delhi,T139,2025-11-17,23,-105 dBm,High,13%,Peak hour traffic
Chennai,T780,2025-03-22,38,-75 dBm,Medium,14%,Normal operation
Chennai,T948,2025-01-07,98,-100 dBm,Medium,8%,Poor weather
Hyderabad,T959,2025-09-24,102,-70 dBm,Medium,10%,Poor weather
Kolkata,T508,2025-12-17,104,-98 dBm,Medium,13%,Power fluctuation
Kolkata,T916,2025-10-03,21,-94 dBm,Low,10%,Power fluctuation
Hyderabad,T162,2025-04-27,98,-110 dBm,Medium,1%,Poor weather
Delhi,T267,2025-03-29,60,-76 dBm,Low,13%,Fiber issue detected
Mumbai,T208,2025-03-17,36,-76 dBm,Low,7%,Normal operation
Delhi,T905,2025-09-25,86,-106 dBm,Medium,11%,Fiber issue detected
Chennai,T919,2025-04-14,99,-86 dBm,Low,5%,Fiber issue detected
Chennai,T304,2025-06-03,86,-108 dBm,Medium,17%,Power fluctuation
Mumbai,T645,2025-02-19,143,-82 dBm,Low,13%,Backhaul congestion
Chennai,T837,2025-01-07,115,-105 dBm,High,1%,Maintenance activity
Hyderabad,T236,2025-01-10,123,-77 dBm,Low,2%,Maintenance activity
Chennai,T946,2025-07-08,131,-79 dBm,Medium,18%,Backhaul congestion
Kolkata,T972,2025-01-27,79,-101 dBm,Low,17%,Backhaul congestion
Bangalore,T628,2025-12-18,99,-85 dBm,Medium,14%,Peak hour traffic
Bangalore,T105,2025-12-29,33,-102 dBm,Medium,1%,Fiber issue detected
Kolkata,T721,2025-10-15,33,-77 dBm,Medium,19%,Power fluctuation
Kolkata,T823,2025-04-02,6,-98 dBm,High,10%,Fiber issue detected
Delhi,T689,2025-06-21,100,-93 dBm,High,1%,Poor weather
Delhi,T818,2025-04-10,104,-86 dBm,High,20%,Peak hour traffic
Kolkata,T861,2025-03-22,144,-106 dBm,Medium,18%,Heavy user load
Hyderabad,T672,2025-06-07,124,-84 dBm,Medium,1%,Poor weather
Delhi,T845,2025-04-26,56,-83 dBm,High,7%,Backhaul congestion
Hyderabad,T687,2025-12-12,64,-96 dBm,Medium,5%,Poor weather
Bangalore,T967,2025-05-26,98,-96 dBm,Low,19%,Heavy user load
Delhi,T367,2025-07-17,101,-99 dBm,High,14%,Maintenance activity
Mumbai,T549,2025-05-31,5,-109 dBm,Low,17%,Backhaul congestion
Mumbai,T344,2025-10-22,61,-73 dBm,Low,7%,Backhaul congestion
Delhi,T384,2025-01-31,136,-82 dBm,High,5%,Backhaul congestion
Chennai,T411,2025-11-08,52,-79 dBm,Medium,13%,Heavy user load
Delhi,T310,2025-08-12,26,-107 dBm,Low,6%,Power fluctuation
Kolkata,T997,2025-02-20,38,-109 dBm,Medium,8%,Normal operation
Bangalore,T312,2025-07-12,142,-96 dBm,High,10%,Poor weather
Hyderabad,T122,2025-11-08,21,-86 dBm,High,14%,Power fluctuation
Bangalore,T554,2025-05-01,144,-84 dBm,Low,15%,Peak hour traffic
Kolkata,T308,2025-04-14,60,-80 dBm,High,18%,Fiber issue detected
Bangalore,T676,2025-07-25,63,-95 dBm,Low,5%,Power fluctuation
Bangalore,T545,2025-07-04,107,-106 dBm,Medium,5%,Heavy user load
Chennai,T621,2025-02-21,113,-104 dBm,Low,8%,Heavy user load
Mumbai,T427,2025-05-10,125,-95 dBm,Low,10%,Peak hour traffic
Hyderabad,T646,2025-05-10,103,-75 dBm,Low,14%,Power fluctuation
Hyderabad,T778,2025-07-26,121,-100 dBm,Medium,10%,Normal operation
Chennai,T708,2025-09-29,28,-91 dBm,Medium,4%,Fiber issue detected
Delhi,T244,2025-08-21,71,-107 dBm,Low,8%,Peak hour traffic
Chennai,T963,2025-06-03,147,-72 dBm,Medium,7%,Heavy user load
Bangalore,T999,2025-07-01,95,-99 dBm,High,8%,Power fluctuation
Mumbai,T931,2025-12-07,69,-97 dBm,Medium,7%,Heavy user load
Bangalore,T478,2025-10-09,53,-76 dBm,Medium,2%,Heavy user load
Hyderabad,T737,2025-10-28,18,-74 dBm,Low,18%,Peak hour traffic
Delhi,T425,2025-03-31,95,-99 dBm,Low,18%,Backhaul congestion
Delhi,T142,2025-04-30,35,-103 dBm,High,20%,Power fluctuation
Delhi,T648,2025-02-07,61,-74 dBm,Medium,18%,Backhaul congestion
Mumbai,T985,2025-10-28,22,-77 dBm,Low,8%,Power fluctuation
Bangalore,T731,2025-03-01,141,-106 dBm,High,19%,Peak hour traffic
Kolkata,T644,2025-01-07,126,-99 dBm,Low,11%,Fiber issue detected
Hyderabad,T827,2025-08-06,110,-105 dBm,Low,7%,Backhaul congestion
Chennai,T728,2025-02-21,30,-103 dBm,High,16%,Normal operation
Hyderabad,T187,2025-01-04,35,-74 dBm,Medium,10%,Fiber issue detected
Chennai,T795,2025-10-22,51,-91 dBm,High,10%,Normal operation
Chennai,T934,2025-07-14,5,-97 dBm,Low,5%,Poor weather
Kolkata,T481,2025-03-12,25,-97 dBm,High,17%,Peak hour traffic
Hyderabad,T794,2025-07-18,84,-86 dBm,Low,8%,Maintenance activity
Mumbai,T713,2025-03-13,53,-84 dBm,Low,1%,Heavy user load
Hyderabad,T930,2025-03-30,10,-88 dBm,High,9%,Peak hour traffic
Delhi,T525,2025-01-19,65,-84 dBm,High,18%,Heavy user load
Mumbai,T670,2025-07-24,29,-71 dBm,Low,13%,Power fluctuation
Mumbai,T578,2025-01-26,39,-95 dBm,Medium,10%,Maintenance activity
Hyderabad,T270,2025-07-08,6,-85 dBm,Low,7%,Power fluctuation
Chennai,T878,2025-09-16,148,-80 dBm,High,16%,Maintenance activity
Mumbai,T486,2025-07-16,122,-100 dBm,Medium,11%,Maintenance activity
Mumbai,T111,2025-02-18,57,-86 dBm,Low,20%,Normal operation
Chennai,T662,2025-09-13,67,-74 dBm,Low,16%,Normal operation
Chennai,T526,2025-02-20,64,-101 dBm,Medium,5%,Peak hour traffic
Delhi,T455,2025-11-02,45,-85 dBm,Medium,15%,Normal operation
Delhi,T136,2025-05-20,143,-97 dBm,Low,9%,Backhaul congestion
Bangalore,T401,2025-12-04,68,-88 dBm,Low,18%,Maintenance activity
Kolkata,T153,2025-11-07,49,-72 dBm,Low,7%,Fiber issue detected
Kolkata,T325,2025-06-13,24,-105 dBm,Medium,11%,Normal operation
Mumbai,T587,2025-01-18,45,-90 dBm,Medium,15%,Power fluctuation
Mumbai,T439,2025-01-27,131,-98 dBm,Low,11%,Poor weather
Kolkata,T973,2025-10-21,30,-94 dBm,Medium,7%,Power fluctuation
Delhi,T936,2025-04-24,8,-100 dBm,High,13%,Peak hour traffic
Hyderabad,T256,2025-04-24,128,-93 dBm,Low,1%,Poor weather
Bangalore,T680,2025-04-30,142,-70 dBm,Medium,3%,Peak hour traffic
Mumbai,T189,2025-02-25,120,-108 dBm,Low,11%,Power fluctuation
Kolkata,T846,2025-07-29,83,-106 dBm,Medium,4%,Normal operation
Mumbai,T149,2025-05-10,20,-71 dBm,High,16%,Peak hour traffic
Mumbai,T703,2025-09-28,45,-70 dBm,Low,17%,Peak hour traffic
Chennai,T947,2025-01-01,143,-77 dBm,High,19%,Power fluctuation
Delhi,T326,2025-01-17,47,-90 dBm,High,15%,Backhaul congestion
Bangalore,T589,2025-11-10,35,-100 dBm,Low,8%,Backhaul congestion
Hyderabad,T649,2025-03-05,34,-101 dBm,High,3%,Backhaul congestion
Chennai,T940,2025-01-09,110,-80 dBm,Low,16%,Maintenance activity
Kolkata,T188,2025-11-28,113,-70 dBm,Low,18%,Peak hour traffic
Delhi,T490,2025-01-27,130,-73 dBm,High,16%,Peak hour traffic
Chennai,T856,2025-09-15,8,-105 dBm,Low,3%,Maintenance activity
Bangalore,T830,2025-04-30,126,-95 dBm,Low,13%,Heavy user load
Delhi,T634,2025-05-01,133,-97 dBm,High,10%,Power fluctuation
Chennai,T850,2025-10-06,96,-83 dBm,High,1%,Normal operation
Delhi,T499,2025-12-31,143,-88 dBm,Medium,5%,Backhaul congestion
Delhi,T659,2025-01-10,65,-70 dBm,Medium,19%,Normal operation
Kolkata,T900,2025-02-01,117,-71 dBm,Medium,12%,Poor weather
Kolkata,T759,2025-11-24,83,-109 dBm,Low,17%,Backhaul congestion
Hyderabad,T556,2025-02-16,145,-83 dBm,Low,13%,Normal operation
Chennai,T829,2025-07-24,78,-108 dBm,Low,11%,Peak hour traffic
Delhi,T270,2025-10-18,42,-106 dBm,High,11%,Fiber issue detected
Bangalore,T544,2025-08-07,124,-108 dBm,Medium,15%,Heavy user load
Mumbai,T344,2025-12-17,100,-86 dBm,High,8%,Power fluctuation
Chennai,T730,2025-05-08,65,-86 dBm,Low,3%,Power fluctuation
Mumbai,T466,2025-08-03,46,-91 dBm,Low,11%,Power fluctuation
Bangalore,T695,2025-03-02,17,-91 dBm,Medium,3%,Heavy user load
Kolkata,T173,2025-07-03,83,-89 dBm,High,6%,Heavy user load
Chennai,T427,2025-09-08,101,-84 dBm,Medium,7%,Poor weather
Mumbai,T635,2025-04-11,78,-73 dBm,Medium,4%,Power fluctuation
Kolkata,T115,2025-12-04,149,-71 dBm,High,2%,Peak hour traffic
Mumbai,T973,2025-03-03,121,-103 dBm,Low,13%,Backhaul congestion
Hyderabad,T525,2025-01-05,121,-92 dBm,High,17%,Heavy user load
Hyderabad,T776,2025-03-12,58,-95 dBm,Low,10%,Maintenance activity
Bangalore,T916,2025-12-31,67,-89 dBm,High,12%,Backhaul congestion
Chennai,T428,2025-11-14,113,-92 dBm,High,12%,Fiber issue detected
Hyderabad,T969,2025-06-18,15,-85 dBm,High,9%,Peak hour traffic
Chennai,T398,2025-02-14,48,-105 dBm,Low,13%,Peak hour traffic
Kolkata,T985,2025-10-06,79,-75 dBm,Low,15%,Power fluctuation
Mumbai,T727,2025-04-25,141,-98 dBm,Low,16%,Fiber issue detected
Kolkata,T194,2025-03-16,127,-96 dBm,Medium,9%,Heavy user load
Hyderabad,T600,2025-04-07,115,-99 dBm,Medium,20%,Heavy user load
Bangalore,T696,2025-02-23,116,-90 dBm,High,4%,Fiber issue detected
Mumbai,T371,2025-12-16,114,-101 dBm,Medium,12%,Fiber issue detected
Mumbai,T719,2025-05-03,25,-77 dBm,Medium,9%,Maintenance activity
Chennai,T762,2025-12-13,150,-87 dBm,High,3%,Heavy user load
Hyderabad,T211,2025-01-26,10,-70 dBm,High,8%,Normal operation
Hyderabad,T647,2025-03-27,88,-75 dBm,Medium,3%,Normal operation
Mumbai,T271,2025-10-19,86,-96 dBm,Medium,9%,Maintenance activity
Bangalore,T358,2025-05-05,144,-92 dBm,Low,8%,Backhaul congestion
Bangalore,T776,2025-01-10,135,-92 dBm,High,9%,Heavy user load
Bangalore,T179,2025-10-26,17,-76 dBm,High,8%,Maintenance activity
Mumbai,T994,2025-09-24,30,-73 dBm,High,20%,Heavy user load
Mumbai,T210,2025-10-10,8,-100 dBm,High,8%,Normal operation
Hyderabad,T230,2025-12-05,130,-110 dBm,High,2%,Maintenance activity
Bangalore,T716,2025-08-06,18,-108 dBm,High,8%,Power fluctuation
Bangalore,T758,2025-01-25,23,-103 dBm,Low,9%,Maintenance activity
Kolkata,T512,2025-01-18,7,-81 dBm,High,6%,Power fluctuation
Mumbai,T814,2025-12-18,90,-89 dBm,Low,2%,Heavy user load
Delhi,T713,2025-05-16,131,-104 dBm,Medium,9%,Heavy user load
Mumbai,T720,2025-05-21,131,-103 dBm,Medium,13%,Backhaul congestion
Hyderabad,T202,2025-04-18,115,-93 dBm,Medium,14%,Fiber issue detected
Bangalore,T338,2025-07-30,117,-94 dBm,High,16%,Poor weather
Bangalore,T916,2025-09-16,80,-95 dBm,High,6%,Poor weather
Bangalore,T460,2025-02-19,117,-101 dBm,Medium,18%,Fiber issue detected
Delhi,T938,2025-04-10,109,-85 dBm,Low,5%,Fiber issue detected
Delhi,T126,2025-01-14,107,-88 dBm,Medium,6%,Heavy user load
Delhi,T346,2025-02-12,13,-84 dBm,Low,14%,Power fluctuation
Hyderabad,T121,2025-03-14,129,-81 dBm,Medium,19%,Peak hour traffic
Delhi,T892,2025-06-11,31,-71 dBm,Medium,5%,Poor weather
Chennai,T866,2025-12-14,80,-74 dBm,High,15%,Normal operation
Delhi,T697,2025-09-14,77,-73 dBm,Low,18%,Poor weather
Mumbai,T652,2025-02-06,47,-71 dBm,Low,10%,Poor weather
Hyderabad,T492,2025-08-02,24,-105 dBm,Low,8%,Power fluctuation
Chennai,T237,2025-04-08,145,-90 dBm,Medium,11%,Backhaul congestion
Delhi,T558,2025-04-17,129,-82 dBm,Low,11%,Peak hour traffic
Kolkata,T638,2025-10-28,22,-79 dBm,High,11%,Fiber issue detected
Hyderabad,T381,2025-09-20,142,-87 dBm,Medium,14%,Poor weather
Kolkata,T906,2025-10-23,32,-106 dBm,High,10%,Backhaul congestion
Delhi,T846,2025-09-06,64,-86 dBm,Medium,13%,Peak hour traffic
Delhi,T140,2025-01-18,123,-85 dBm,High,4%,Heavy user load
Delhi,T743,2025-10-19,47,-76 dBm,Low,1%,Peak hour traffic
Hyderabad,T548,2025-09-11,49,-73 dBm,Medium,2%,Fiber issue detected
Hyderabad,T783,2025-04-29,125,-94 dBm,High,8%,Normal operation
Delhi,T922,2025-07-03,88,-87 dBm,High,10%,Backhaul congestion
Chennai,T397,2025-07-18,92,-70 dBm,Low,8%,Maintenance activity
Hyderabad,T973,2025-01-27,67,-106 dBm,Low,11%,Fiber issue detected
Mumbai,T732,2025-05-13,41,-107 dBm,Low,11%,Maintenance activity
Chennai,T888,2025-06-14,102,-86 dBm,High,20%,Normal operation
Bangalore,T148,2025-05-05,117,-104 dBm,Medium,12%,Backhaul congestion
Kolkata,T123,2025-02-21,83,-93 dBm,High,13%,Maintenance activity
Mumbai,T754,2025-04-07,140,-98 dBm,Medium,6%,Normal operation
Chennai,T513,2025-10-31,61,-97 dBm,Low,11%,Backhaul congestion
Kolkata,T639,2025-11-14,107,-93 dBm,Low,2%,Fiber issue detected
Hyderabad,T661,2025-04-30,26,-78 dBm,High,12%,Power fluctuation
Mumbai,T114,2025-12-21,30,-77 dBm,High,15%,Poor weather
Mumbai,T718,2025-06-23,142,-80 dBm,Medium,5%,Peak hour traffic
Chennai,T519,2025-05-07,69,-74 dBm,High,6%,Peak hour traffic
Delhi,T664,2025-04-09,78,-104 dBm,Medium,13%,Backhaul congestion
Hyderabad,T399,2025-08-12,118,-75 dBm,Low,19%,Backhaul congestion
Hyderabad,T652,2025-09-12,137,-98 dBm,Medium,17%,Power fluctuation
Delhi,T360,2025-06-12,67,-109 dBm,Low,14%,Backhaul congestion
Mumbai,T919,2025-09-13,83,-82 dBm,High,17%,Backhaul congestion
Mumbai,T613,2025-11-23,73,-83 dBm,Medium,6%,Maintenance activity
Delhi,T991,2025-08-10,63,-83 dBm,High,14%,Backhaul congestion
Bangalore,T126,2025-04-27,85,-87 dBm,Medium,18%,Power fluctuation
Hyderabad,T140,2025-11-06,66,-98 dBm,Low,7%,Poor weather
Hyderabad,T814,2025-01-06,20,-103 dBm,Low,13%,Backhaul congestion
Delhi,T986,2025-07-17,36,-91 dBm,High,6%,Backhaul congestion
Bangalore,T341,2025-09-05,62,-108 dBm,Low,10%,Fiber issue detected
Chennai,T228,2025-03-16,35,-74 dBm,Low,16%,Peak hour traffic
Chennai,T278,2025-08-08,40,-71 dBm,High,2%,Heavy user load
Hyderabad,T442,2025-10-01,128,-86 dBm,High,17%,Maintenance activity
Mumbai,T684,2025-11-21,124,-85 dBm,Medium,18%,Peak hour traffic
Chennai,T127,2025-06-02,16,-97 dBm,High,17%,Heavy user load
Hyderabad,T175,2025-03-22,129,-78 dBm,Low,15%,Normal operation
Chennai,T332,2025-02-19,80,-101 dBm,High,16%,Maintenance activity
Kolkata,T616,2025-07-17,24,-92 dBm,Medium,19%,Peak hour traffic
Mumbai,T168,2025-05-19,69,-78 dBm,Low,4%,Normal operation
Hyderabad,T892,2025-02-24,15,-107 dBm,High,9%,Backhaul congestion
Kolkata,T943,2025-05-29,40,-110 dBm,Medium,5%,Poor weather
Delhi,T747,2025-09-02,30,-108 dBm,Low,17%,Normal operation
Hyderabad,T555,2025-07-23,79,-97 dBm,High,18%,Fiber issue detected
Bangalore,T840,2025-07-19,43,-84 dBm,Medium,16%,Heavy user load
Mumbai,T174,2025-04-07,105,-108 dBm,High,20%,Normal operation
Hyderabad,T539,2025-07-30,86,-92 dBm,High,4%,Fiber issue detected
Delhi,T484,2025-09-26,149,-105 dBm,High,11%,Normal operation
Kolkata,T183,2025-10-24,57,-92 dBm,Medium,9%,Poor weather
Mumbai,T900,2025-07-07,127,-91 dBm,High,18%,Heavy user load
Hyderabad,T539,2025-02-25,11,-86 dBm,Low,6%,Normal operation
Hyderabad,T856,2025-09-26,56,-91 dBm,Medium,9%,Fiber issue detected
Mumbai,T754,2025-10-31,59,-76 dBm,Low,13%,Poor weather
Mumbai,T892,2025-01-29,22,-74 dBm,Medium,8%,Peak hour traffic
Hyderabad,T229,2025-06-04,60,-71 dBm,Medium,9%,Peak hour traffic
Hyderabad,T153,2025-03-06,95,-104 dBm,Low,1%,Poor weather
Bangalore,T151,2025-11-12,80,-72 dBm,High,4%,Normal operation
Delhi,T642,2025-09-28,26,-103 dBm,Low,5%,Maintenance activity
Delhi,T231,2025-10-18,129,-80 dBm,High,13%,Normal operation
Mumbai,T610,2025-12-04,14,-87 dBm,Low,1%,Backhaul congestion
Mumbai,T197,2025-06-18,70,-87 dBm,High,9%,Peak hour traffic
Bangalore,T686,2025-03-01,30,-99 dBm,High,10%,Backhaul congestion
Delhi,T362,2025-07-11,46,-97 dBm,High,19%,Power fluctuation
Mumbai,T200,2025-07-19,68,-71 dBm,Medium,13%,Peak hour traffic
Bangalore,T659,2025-03-09,50,-91 dBm,High,5%,Poor weather
Mumbai,T237,2025-01-12,79,-108 dBm,Low,2%,Heavy user load
Hyderabad,T121,2025-12-13,82,-104 dBm,High,9%,Poor weather
Chennai,T244,2025-07-03,47,-100 dBm,Medium,8%,Fiber issue detected
Mumbai,T586,2025-08-28,88,-85 dBm,High,12%,Power fluctuation
Kolkata,T999,2025-12-14,5,-105 dBm,Medium,1%,Peak hour traffic
Mumbai,T801,2025-10-18,148,-72 dBm,Medium,2%,Heavy user load
Kolkata,T896,2025-09-14,66,-86 dBm,Medium,14%,Backhaul congestion
Delhi,T867,2025-05-28,75,-82 dBm,Low,15%,Backhaul congestion
Chennai,T915,2025-08-30,35,-104 dBm,Low,20%,Peak hour traffic
Hyderabad,T438,2025-02-11,30,-104 dBm,High,13%,Power fluctuation
Kolkata,T548,2025-05-23,124,-79 dBm,High,1%,Maintenance activity
Hyderabad,T991,2025-11-04,8,-103 dBm,Low,19%,Fiber issue detected
Bangalore,T494,2025-02-13,117,-73 dBm,Medium,13%,Power fluctuation
Chennai,T268,2025-06-29,134,-94 dBm,Low,9%,Fiber issue detected
Mumbai,T445,2025-10-25,76,-86 dBm,Low,19%,Fiber issue detected
Chennai,T896,2025-09-30,104,-101 dBm,Medium,13%,Backhaul congestion
Bangalore,T953,2025-05-12,57,-94 dBm,Medium,10%,Peak hour traffic
Chennai,T282,2025-10-24,31,-89 dBm,Low,3%,Peak hour traffic
Mumbai,T305,2025-12-04,24,-107 dBm,Low,4%,Fiber issue detected
Mumbai,T639,2025-06-13,129,-83 dBm,Medium,17%,Poor weather
Bangalore,T597,2025-03-13,24,-108 dBm,High,16%,Heavy user load
Bangalore,T770,2025-01-17,129,-106 dBm,Medium,14%,Backhaul congestion
Chennai,T226,2025-11-03,71,-106 dBm,Low,15%,Peak hour traffic
Chennai,T784,2025-10-05,79,-108 dBm,Low,1%,Poor weather
Bangalore,T238,2025-06-08,142,-78 dBm,High,12%,Normal operation
Mumbai,T395,2025-10-18,53,-84 dBm,Low,4%,Peak hour traffic
Kolkata,T839,2025-11-04,116,-95 dBm,Medium,17%,Fiber issue detected
Bangalore,T627,2025-12-27,127,-80 dBm,Medium,14%,Backhaul congestion
Kolkata,T205,2025-05-13,49,-84 dBm,High,1%,Power fluctuation
Delhi,T616,2025-10-29,44,-103 dBm,High,5%,Normal operation
Chennai,T420,2025-04-20,109,-98 dBm,Low,7%,Backhaul congestion
Hyderabad,T639,2025-06-16,77,-88 dBm,Medium,19%,Peak hour traffic
Bangalore,T336,2025-11-01,80,-104 dBm,Low,12%,Backhaul congestion
Mumbai,T577,2025-07-08,99,-95 dBm,Low,5%,Fiber issue detected
Delhi,T142,2025-08-07,53,-70 dBm,Medium,11%,Peak hour traffic
Bangalore,T945,2025-09-02,15,-100 dBm,Medium,19%,Poor weather
Mumbai,T196,2025-01-02,46,-99 dBm,Low,10%,Peak hour traffic
Mumbai,T498,2025-01-28,120,-76 dBm,Low,12%,Backhaul congestion
Hyderabad,T710,2025-05-12,69,-71 dBm,Low,17%,Poor weather
Delhi,T152,2025-04-19,38,-99 dBm,High,2%,Heavy user load
Chennai,T405,2025-05-11,116,-74 dBm,High,12%,Fiber issue detected
Delhi,T767,2025-08-08,111,-102 dBm,Medium,10%,Poor weather
Hyderabad,T913,2025-03-01,77,-70 dBm,Low,9%,Normal operation
Hyderabad,T829,2025-06-28,51,-90 dBm,Low,13%,Poor weather
Bangalore,T699,2025-03-15,145,-90 dBm,Medium,12%,Fiber issue detected
Kolkata,T227,2025-10-17,44,-82 dBm,Low,2%,Peak hour traffic
Chennai,T460,2025-03-30,106,-75 dBm,Low,12%,Poor weather
Bangalore,T855,2025-12-05,150,-83 dBm,Medium,12%,Maintenance activity
Mumbai,T154,2025-04-17,36,-88 dBm,High,10%,Power fluctuation
Bangalore,T418,2025-01-11,116,-90 dBm,Low,17%,Fiber issue detected
Mumbai,T995,2025-11-25,10,-71 dBm,High,16%,Fiber issue detected
Mumbai,T144,2025-11-16,120,-106 dBm,Low,20%,Heavy user load
Delhi,T289,2025-06-22,84,-105 dBm,High,20%,Fiber issue detected
Delhi,T549,2025-02-23,121,-96 dBm,Low,13%,Peak hour traffic
Delhi,T700,2025-03-16,39,-100 dBm,Low,15%,Normal operation
Hyderabad,T844,2025-09-12,114,-103 dBm,High,20%,Backhaul congestion
Hyderabad,T117,2025-10-26,77,-73 dBm,Low,14%,Heavy user load
Delhi,T329,2025-04-17,150,-106 dBm,Medium,3%,Heavy user load
Chennai,T579,2025-05-08,30,-98 dBm,High,5%,Normal operation
Delhi,T429,2025-12-02,5,-73 dBm,Low,20%,Normal operation
Mumbai,T355,2025-03-21,71,-88 dBm,Low,14%,Normal operation
Chennai,T833,2025-06-21,9,-98 dBm,Low,7%,Backhaul congestion
Chennai,T485,2025-08-05,8,-109 dBm,Medium,14%,Fiber issue detected
Mumbai,T573,2025-07-06,135,-109 dBm,High,1%,Backhaul congestion
Hyderabad,T566,2025-12-19,53,-93 dBm,High,9%,Backhaul congestion
Bangalore,T274,2025-12-11,43,-83 dBm,High,15%,Fiber issue detected
Kolkata,T779,2025-04-04,63,-100 dBm,High,16%,Heavy user load
Delhi,T790,2025-09-25,54,-73 dBm,High,13%,Maintenance activity
Kolkata,T677,2025-12-16,78,-99 dBm,Low,13%,Normal operation
Chennai,T428,2025-02-23,116,-101 dBm,Low,12%,Heavy user load
Bangalore,T607,2025-02-12,74,-109 dBm,High,12%,Peak hour traffic
Mumbai,T235,2025-11-01,112,-96 dBm,Low,14%,Maintenance activity
Hyderabad,T845,2025-09-28,30,-82 dBm,High,11%,Poor weather
Kolkata,T362,2025-08-07,86,-106 dBm,Medium,9%,Power fluctuation
Hyderabad,T475,2025-01-10,93,-77 dBm,Medium,19%,Maintenance activity
Mumbai,T323,2025-03-09,147,-109 dBm,Medium,15%,Heavy user load
Kolkata,T795,2025-12-03,30,-105 dBm,High,6%,Normal operation
Mumbai,T912,2025-10-11,139,-110 dBm,Medium,4%,Backhaul congestion
Delhi,T872,2025-10-18,7,-110 dBm,Low,1%,Backhaul congestion
Bangalore,T840,2025-12-14,149,-105 dBm,Medium,6%,Backhaul congestion
Mumbai,T962,2025-04-23,114,-100 dBm,Medium,11%,Power fluctuation
Mumbai,T567,2025-01-15,56,-103 dBm,Medium,8%,Backhaul congestion
Hyderabad,T459,2025-06-19,115,-71 dBm,High,19%,Fiber issue detected
Hyderabad,T354,2025-08-15,105,-71 dBm,Medium,13%,Heavy user load
Kolkata,T738,2025-08-12,51,-78 dBm,High,4%,Poor weather
Bangalore,T670,2025-04-12,15,-105 dBm,Medium,8%,Power fluctuation
Bangalore,T421,2025-01-11,99,-97 dBm,Medium,20%,Power fluctuation
Mumbai,T980,2025-09-30,58,-90 dBm,Low,8%,Peak hour traffic
Chennai,T761,2025-12-10,123,-73 dBm,Low,20%,Maintenance activity
Kolkata,T910,2025-06-05,121,-97 dBm,Low,1%,Normal operation
Hyderabad,T292,2025-09-02,42,-108 dBm,Low,8%,Maintenance activity
Bangalore,T866,2025-05-18,65,-93 dBm,High,1%,Maintenance activity
Bangalore,T548,2025-02-24,150,-100 dBm,Medium,13%,Backhaul congestion
Delhi,T451,2025-12-06,147,-75 dBm,Medium,20%,Backhaul congestion
Mumbai,T836,2025-02-06,67,-108 dBm,High,13%,Power fluctuation
Hyderabad,T585,2025-03-18,58,-88 dBm,High,7%,Poor weather
Kolkata,T494,2025-09-03,97,-93 dBm,Low,8%,Backhaul congestion
Mumbai,T741,2025-01-02,94,-74 dBm,Low,8%,Fiber issue detected
Chennai,T887,2025-09-13,30,-95 dBm,Low,18%,Power fluctuation
Kolkata,T998,2025-04-07,139,-86 dBm,Medium,18%,Backhaul congestion
Chennai,T748,2025-03-12,52,-79 dBm,High,17%,Poor weather
Delhi,T695,2025-03-31,24,-97 dBm,Medium,2%,Heavy user load
Delhi,T285,2025-09-01,33,-91 dBm,High,7%,Normal operation
Delhi,T154,2025-01-25,34,-104 dBm,Low,10%,Poor weather
Bangalore,T160,2025-08-10,79,-92 dBm,High,16%,Poor weather
Kolkata,T695,2025-02-17,97,-87 dBm,High,16%,Power fluctuation
Delhi,T306,2025-03-06,54,-76 dBm,High,15%,Maintenance activity
Bangalore,T787,2025-06-04,40,-71 dBm,High,4%,Backhaul congestion
Bangalore,T622,2025-11-12,144,-105 dBm,High,1%,Maintenance activity
Hyderabad,T940,2025-06-01,97,-105 dBm,Medium,4%,Normal operation
Bangalore,T188,2025-01-25,115,-78 dBm,Low,17%,Poor weather
Hyderabad,T180,2025-02-15,85,-74 dBm,Low,8%,Maintenance activity
Bangalore,T440,2025-04-08,106,-88 dBm,High,16%,Power fluctuation
Mumbai,T342,2025-09-28,51,-103 dBm,Medium,3%,Poor weather
