Region,Tower_ID,Date,Call_Drops,Signal_Strength,Congestion_Level,Handoff_Failure,Notes
Visakhapatnam,T0539,2024-03-28,0,-83,Low,0,Routine monitoring
Bikaner,T0871,2024-10-28,12,-79,Medium,3,Weather impact
Chennai,T1387,2024-04-05,32,-106,High,10,Network optimization required
Mumbai,T1260,2025-07-23,0,-64,Low,0,Normal operation
Jaipur,T0492,2025-07-02,13,-114,Medium,2,Handoff instability
Jaipur,T0104,2025-07-21,2,-102,Low,0,Low traffic
Nashik,T0203,2024-04-27,23,-65,High,9,Weather impact
Sangli,T1053,2024-12-06,23,-86,High,7,Handoff instability
Aligarh,T1239,2023-07-04,10,-101,Low,2,Low traffic
Sangli,T0878,2024-02-28,9,-79,Medium,3,Normal operation
Pimpri-Chinchwad,T0270,2023-08-23,7,-93,Low,0,Routine monitoring
Ambattur,T0179,2024-01-14,19,-76,High,4,Weather impact
Kanpur,T0460,2023-06-22,11,-70,Medium,5,Weather impact
Bareilly,T0728,2025-10-25,8,-90,Low,4,Normal operation
Bhavnagar,T1260,2023-10-28,6,-105,Low,1,Low traffic
Pimpri-Chinchwad,T0951,2025-06-07,10,-85,Low,3,Low traffic
Guntur,T1349,2023-04-21,1,-62,Low,3,Routine monitoring
Prayagraj,T0873,2025-10-30,23,-80,High,7,Handoff instability
Ambattur,T0225,2023-03-31,21,-99,High,3,Handoff instability
Bhilai,T1037,2024-09-22,3,-67,Low,4,Stable network
Lucknow,T0345,2025-07-29,4,-83,Low,1,Low traffic
Vadodara,T1111,2024-04-26,28,-77,High,10,Peak hour congestion
Gwalior,T1315,2023-08-05,6,-70,Low,2,Normal operation
Lucknow,T0998,2025-08-30,11,-104,Low,2,Moderate congestion
Bareilly,T0103,2024-04-25,8,-70,Medium,0,Normal operation
Solapur,T0246,2024-10-19,5,-78,Low,1,Normal operation
Srinagar,T0550,2024-09-21,2,-64,Low,3,Low traffic
Jabalpur,T1278,2024-02-03,5,-107,Low,0,Normal operation
Faridabad,T1386,2024-07-09,28,-93,High,8,Network optimization required
Agra,T0922,2025-03-21,2,-92,Low,0,Routine monitoring
Jabalpur,T1388,2024-01-18,20,-101,High,3,Weather impact
Faridabad,T0025,2023-11-14,4,-71,Low,0,Low traffic
Hyderabad,T0796,2025-04-12,19,-113,Medium,4,Weather impact
Jamshedpur,T0006,2023-11-11,5,-62,Low,2,Stable network
Pimpri-Chinchwad,T0626,2024-04-15,2,-101,Low,0,Stable network
Asansol,T1371,2024-08-25,12,-97,Medium,0,Temporary interference
Asansol,T1001,2024-03-10,4,-64,Low,3,Stable network
Bhilai,T1237,2023-05-30,27,-95,High,10,Fiber outage
Amritsar,T0123,2023-11-04,29,-84,High,11,Fiber outage
Meerut,T1165,2024-05-24,9,-102,Medium,0,Stable network
Mangalore,T0670,2024-05-04,20,-115,Medium,4,Moderate congestion
Amritsar,T0890,2025-03-09,8,-108,Low,1,Routine monitoring
Coimbatore,T0134,2025-12-22,7,-80,Low,2,Stable network
Bhubaneswar,T0709,2023-11-11,4,-62,Medium,0,Routine monitoring
Vijayawada,T0484,2023-01-16,4,-81,Low,2,Low traffic
Dhanbad,T0564,2025-11-22,9,-108,Low,1,Normal operation
Saharanpur,T0242,2025-08-31,6,-74,Low,6,Low traffic
Kalyan-Dombivli,T0445,2023-08-18,5,-88,Low,1,Routine monitoring
Agra,T1235,2025-03-08,14,-110,Medium,1,Moderate congestion
Jabalpur,T0205,2023-04-15,24,-87,High,8,Temporary interference
Bhilai,T1374,2023-01-22,9,-113,Medium,0,Low traffic
Kalyan-Dombivli,T0081,2025-11-05,7,-82,Low,2,Normal operation
Chennai,T0989,2025-04-03,10,-83,Low,4,Normal operation
Firozabad,T0709,2023-02-03,10,-92,Medium,0,Routine monitoring
Mumbai,T0564,2025-06-02,6,-81,Medium,0,Normal operation
Warangal,T0201,2023-03-02,6,-70,Low,2,Routine monitoring
Udaipur,T1232,2024-04-16,0,-61,Low,1,Normal operation
Ajmer,T0305,2024-06-30,14,-96,Medium,2,Handoff instability
Guwahati,T1225,2024-12-07,13,-79,High,2,Moderate congestion
Durgapur,T1101,2025-07-28,8,-111,Low,0,Low traffic
Bhopal,T1056,2023-11-23,5,-99,Low,0,Stable network
Mangalore,T0862,2023-08-20,5,-114,Low,0,Low traffic
Bhopal,T1054,2024-05-07,0,-63,Low,2,Routine monitoring
Vasai-Virar,T1450,2025-11-29,7,-106,Low,0,Normal operation
Vasai-Virar,T0067,2025-05-04,12,-88,Medium,3,Moderate congestion
Indore,T0651,2024-09-19,7,-114,Low,1,Low traffic
Tiruppur,T1437,2025-03-22,9,-113,Low,1,Routine monitoring
Firozabad,T1019,2025-09-17,18,-105,Medium,5,Moderate congestion
Howrah,T1205,2024-05-21,7,-81,Low,3,Stable network
Amravati,T0189,2024-04-09,0,-83,Low,0,Routine monitoring
Warangal,T1166,2024-10-25,11,-75,Medium,2,Weather impact
Loni,T0877,2023-02-10,28,-66,High,14,Backhaul issue
Gorakhpur,T0762,2025-08-17,12,-81,Low,5,Temporary interference
Firozabad,T0852,2023-11-04,6,-86,Low,1,Low traffic
Bhiwandi,T0155,2024-10-14,0,-71,Low,0,Stable network
Sangli,T0097,2023-03-23,20,-101,High,2,Handoff instability
Vijayawada,T1437,2023-08-20,12,-109,Medium,3,Moderate congestion
Gurugram,T1122,2025-12-31,7,-106,Low,2,Low traffic
Dehradun,T1335,2025-01-24,7,-65,Medium,3,Routine monitoring
Nagpur,T1087,2023-07-06,28,-85,High,8,Backhaul issue
Patna,T0037,2023-10-30,3,-100,Low,1,Stable network
Warangal,T0449,2025-08-29,5,-82,Low,4,Stable network
Varanasi,T0651,2023-02-28,0,-61,Low,1,Normal operation
Kolkata,T0907,2024-08-17,13,-107,Medium,2,Moderate congestion
Tiruppur,T1324,2023-01-31,4,-62,Low,2,Normal operation
Bhopal,T1481,2024-03-28,21,-65,High,9,Moderate congestion
Kochi,T1021,2023-07-30,9,-104,Medium,1,Normal operation
Saharanpur,T0440,2023-07-19,11,-114,Medium,1,Temporary interference
Raipur,T0026,2025-11-13,0,-69,Low,1,Low traffic
Cuttack,T1280,2025-01-04,9,-74,Medium,1,Routine monitoring
Faridabad,T0831,2024-09-29,8,-106,Medium,0,Low traffic
Bikaner,T0102,2023-12-01,6,-74,Medium,1,Low traffic
Dehradun,T0991,2024-01-14,18,-85,High,4,Moderate congestion
Jabalpur,T1473,2025-04-29,10,-77,Medium,2,Normal operation
Coimbatore,T0665,2023-03-23,26,-107,High,7,Network optimization required
Ahmedabad,T1373,2025-05-14,1,-76,Low,1,Low traffic
Nashik,T1242,2025-09-18,7,-84,Medium,0,Routine monitoring
Noida,T1283,2023-03-09,22,-107,High,5,Weather impact
Rajkot,T0391,2025-12-20,33,-75,High,13,Network optimization required
Tirunelveli,T0049,2023-05-13,4,-66,Low,2,Low traffic
Varanasi,T1122,2023-05-19,4,-79,Low,4,Low traffic
Pune,T0802,2024-06-17,0,-70,Low,0,Normal operation
Jhansi,T1296,2023-04-29,12,-89,Medium,2,Moderate congestion
Madurai,T0589,2025-10-31,10,-71,Medium,1,Stable network
Nagpur,T0033,2025-02-02,0,-64,Low,1,Stable network
Pimpri-Chinchwad,T0006,2023-01-23,4,-90,Low,0,Routine monitoring
Amritsar,T1334,2024-11-15,21,-100,High,2,Temporary interference
Thane,T1253,2023-02-01,7,-111,Low,0,Stable network
Gulbarga,T0919,2024-09-12,4,-61,Medium,2,Normal operation
Nanded,T1472,2023-12-25,7,-89,Low,3,Normal operation
Madurai,T0970,2024-06-09,1,-79,Low,0,Stable network
Ulhasnagar,T1215,2024-09-24,17,-105,Medium,4,Moderate congestion
Ahmedabad,T0123,2024-09-14,5,-105,Low,2,Routine monitoring
Mysuru,T0728,2023-10-22,4,-98,Low,0,Low traffic
Mumbai,T0592,2025-10-01,2,-96,Low,0,Stable network
Guwahati,T0150,2025-07-09,7,-81,Medium,0,Normal operation
Nagpur,T1026,2024-03-06,1,-79,Low,1,Routine monitoring
Bhavnagar,T0282,2024-05-03,9,-83,Medium,0,Routine monitoring
Jalandhar,T1046,2024-12-10,7,-105,Low,3,Normal operation
Guntur,T0458,2023-02-09,10,-103,Medium,1,Routine monitoring
Delhi,T0381,2024-01-16,12,-113,Low,2,Handoff instability
Bengaluru,T0252,2025-05-18,9,-91,Medium,0,Normal operation
Saharanpur,T0941,2024-05-28,3,-89,Low,1,Normal operation
Erode,T0624,2025-05-05,7,-83,Medium,0,Stable network
Jaipur,T0911,2025-01-14,22,-68,High,7,Handoff instability
Vadodara,T0955,2023-02-13,14,-113,Medium,2,Temporary interference
Dehradun,T0543,2025-05-28,27,-109,High,6,Network optimization required
Rajkot,T0438,2024-09-02,7,-92,Low,1,Low traffic
Hyderabad,T1268,2023-06-06,27,-114,High,9,Network optimization required
Kolhapur,T0018,2024-11-25,10,-84,Medium,2,Routine monitoring
Vadodara,T1042,2024-04-30,8,-93,Low,2,Stable network
Cuttack,T0970,2025-06-02,13,-113,Low,4,Moderate congestion
Kanpur,T0751,2025-04-23,21,-68,High,9,Weather impact
Ahmedabad,T0794,2024-02-21,23,-76,High,8,Weather impact
Udaipur,T1017,2025-06-08,29,-100,High,8,Backhaul issue
Bhavnagar,T1351,2024-03-30,13,-115,Low,5,Temporary interference
Chandigarh,T0304,2025-07-21,5,-93,Low,0,Normal operation
Chandigarh,T0440,2023-11-03,23,-76,High,7,Moderate congestion
Dhanbad,T0525,2024-11-16,10,-93,Medium,2,Stable network
Mysuru,T0753,2024-09-28,10,-72,Medium,2,Routine monitoring
Ranchi,T1291,2025-05-15,4,-66,Medium,1,Low traffic
Vijayawada,T0800,2024-04-21,5,-77,Medium,0,Low traffic
Kota,T1177,2024-03-06,11,-92,Medium,4,Temporary interference
Ghaziabad,T1010,2023-01-10,26,-99,High,6,Fiber outage
Hubli-Dharwad,T0178,2025-12-10,6,-73,Medium,1,Stable network
Faridabad,T1217,2024-05-26,1,-71,Low,1,Normal operation
Jalgaon,T0779,2025-02-21,8,-67,Medium,2,Stable network
Agra,T0254,2024-09-26,22,-82,High,5,Weather impact
Siliguri,T1273,2024-11-21,26,-100,High,5,Network optimization required
Siliguri,T0912,2025-06-18,4,-89,Low,0,Normal operation
Nanded,T0472,2024-11-17,7,-106,Low,3,Routine monitoring
Jhansi,T1469,2024-12-04,11,-75,Medium,1,Moderate congestion
Navi Mumbai,T0469,2025-06-08,4,-60,Medium,0,Normal operation
Delhi,T1439,2023-03-25,10,-83,Medium,0,Stable network
Salem,T0618,2025-07-26,8,-95,Medium,2,Routine monitoring
Madurai,T1339,2023-11-29,8,-63,Medium,2,Stable network
Delhi,T1199,2023-10-31,7,-92,Low,4,Low traffic
Ulhasnagar,T1122,2023-04-18,9,-64,Medium,3,Routine monitoring
Chennai,T0425,2025-11-28,9,-89,Medium,2,Normal operation
Nanded,T1480,2023-07-09,12,-108,Medium,2,Temporary interference
Saharanpur,T0807,2025-05-29,10,-83,Low,4,Normal operation
Salem,T0825,2024-02-04,0,-81,Low,0,Routine monitoring
Belgaum,T0461,2023-07-13,0,-68,Low,0,Stable network
Raipur,T0978,2025-11-27,6,-84,Low,0,Routine monitoring
Salem,T0899,2024-08-14,4,-86,Low,2,Normal operation
Ulhasnagar,T0254,2023-07-22,11,-74,Medium,2,Moderate congestion
Dehradun,T0129,2023-09-29,22,-96,High,7,Weather impact
Malegaon,T0284,2025-04-11,5,-80,Low,2,Stable network
Kolhapur,T0734,2024-05-26,10,-106,Low,4,Low traffic
Jammu,T0452,2024-04-18,26,-60,High,10,Backhaul issue
Saharanpur,T0992,2025-10-01,5,-71,Low,1,Normal operation
Jhansi,T0055,2025-05-04,11,-84,Medium,3,Handoff instability
Nellore,T0431,2025-02-11,12,-103,Medium,0,Moderate congestion
Tiruppur,T1125,2024-10-09,4,-69,Low,4,Normal operation
Erode,T0131,2025-09-17,10,-113,Low,1,Routine monitoring
Vadodara,T0758,2024-06-03,0,-79,Low,0,Routine monitoring
Bhubaneswar,T1378,2025-01-07,15,-112,Medium,3,Temporary interference
Loni,T1133,2025-09-02,13,-115,Low,3,Temporary interference
Jamshedpur,T0539,2024-02-08,8,-76,Medium,0,Stable network
Pimpri-Chinchwad,T1067,2024-10-15,18,-68,High,5,Weather impact
Kolhapur,T0371,2025-03-15,11,-83,Medium,2,Handoff instability
Durgapur,T0953,2025-06-24,5,-89,Medium,0,Stable network
Jalandhar,T0046,2023-12-17,6,-66,Medium,0,Routine monitoring
Gwalior,T0323,2025-11-01,7,-74,Low,3,Normal operation
Dhanbad,T0629,2025-05-08,4,-63,Medium,0,Normal operation
Jhansi,T1217,2023-06-07,25,-69,High,7,Moderate congestion
Warangal,T0315,2024-06-13,14,-106,Medium,1,Moderate congestion
Erode,T0536,2023-06-19,9,-90,Low,3,Stable network
Visakhapatnam,T1083,2025-09-19,8,-91,Low,1,Stable network
Bengaluru,T0051,2023-02-15,0,-66,Low,2,Low traffic
Meerut,T0590,2025-09-12,10,-74,Medium,4,Normal operation
Lucknow,T0084,2024-12-02,19,-107,Medium,4,Handoff instability
Tiruchirappalli,T0412,2023-08-31,11,-69,Medium,4,Moderate congestion
Sangli,T0566,2024-04-12,6,-65,Low,3,Routine monitoring
Jamnagar,T0166,2023-03-16,7,-61,Medium,2,Normal operation
Jodhpur,T0232,2024-01-20,10,-98,Low,5,Stable network
Agra,T1495,2024-10-10,16,-113,Low,5,Weather impact
Jammu,T1081,2023-04-17,10,-102,Medium,0,Low traffic
Bengaluru,T0753,2024-02-26,4,-68,Low,0,Routine monitoring
Belgaum,T0057,2023-05-28,10,-90,Medium,1,Routine monitoring
Mangalore,T0752,2024-05-25,23,-66,High,6,Moderate congestion
Bhopal,T0002,2025-07-18,13,-87,Low,6,Handoff instability
Varanasi,T0220,2024-10-11,4,-110,Low,1,Low traffic
Thane,T0097,2024-10-01,10,-98,Medium,1,Stable network
Faridabad,T0198,2024-02-14,4,-108,Low,0,Routine monitoring
Ulhasnagar,T0857,2023-05-16,14,-74,Medium,4,Temporary interference
Ghaziabad,T1458,2025-05-29,7,-94,Low,1,Routine monitoring
Kochi,T0871,2025-01-17,33,-101,High,12,Peak hour congestion
Indore,T1289,2024-08-30,12,-70,Low,6,Weather impact
Ghaziabad,T0100,2025-12-16,17,-111,Medium,3,Handoff instability
Gaya,T0431,2023-06-04,3,-94,Low,1,Low traffic
Vasai-Virar,T1392,2024-12-18,8,-110,Low,0,Low traffic
Ahmedabad,T0167,2023-03-06,5,-62,Medium,0,Routine monitoring
Jamshedpur,T1239,2025-01-25,20,-101,High,4,Weather impact
Visakhapatnam,T1188,2023-11-23,7,-97,Low,1,Normal operation
Akola,T0746,2025-06-22,27,-90,High,8,Weak signal area
Bareilly,T1029,2023-04-18,22,-77,High,5,Moderate congestion
Pimpri-Chinchwad,T0145,2023-03-08,13,-112,Medium,2,Handoff instability
Rajkot,T1242,2025-06-25,13,-73,Medium,3,Weather impact
Loni,T1205,2024-12-27,7,-78,Low,3,Routine monitoring
Amravati,T0320,2023-10-31,19,-71,High,5,Moderate congestion
Udaipur,T0143,2025-08-24,3,-103,Low,1,Stable network
Vadodara,T1309,2025-10-18,12,-74,Medium,2,Handoff instability
Jhansi,T0907,2023-01-26,22,-101,High,4,Weather impact
Jalandhar,T0081,2025-10-18,12,-91,Medium,1,Handoff instability
Vijayawada,T0367,2024-07-18,5,-61,Low,3,Stable network
Kalyan-Dombivli,T0710,2025-05-01,13,-109,Medium,0,Temporary interference
Asansol,T0940,2023-09-24,0,-65,Low,1,Routine monitoring
Faridabad,T0544,2025-03-28,6,-88,Medium,1,Routine monitoring
Cuttack,T0503,2025-05-20,2,-64,Low,3,Routine monitoring
Pimpri-Chinchwad,T1241,2023-06-13,7,-82,Low,4,Low traffic
Belgaum,T0732,2025-08-09,23,-69,High,10,Temporary interference
Kochi,T1037,2023-06-04,4,-93,Low,1,Stable network
Hubli-Dharwad,T0600,2025-08-04,9,-113,Low,1,Low traffic
Akola,T0395,2024-03-28,5,-77,Low,1,Low traffic
Akola,T0907,2024-03-13,7,-80,Medium,0,Low traffic
Ajmer,T1406,2023-07-17,24,-89,High,7,Temporary interference
Kolkata,T0679,2025-05-02,4,-82,Low,1,Normal operation
Jabalpur,T1128,2024-07-11,7,-85,Medium,0,Stable network
Pune,T0971,2023-06-02,10,-108,Medium,0,Low traffic
Kota,T0487,2023-01-06,5,-91,Low,2,Normal operation
Rourkela,T1225,2025-10-31,7,-79,Low,2,Normal operation
Lucknow,T0271,2023-02-19,22,-70,High,5,Temporary interference
Amravati,T1312,2024-04-28,2,-66,Low,2,Low traffic
Solapur,T1131,2025-09-24,7,-107,Medium,0,Stable network
Agra,T1350,2025-08-16,26,-69,High,12,Network optimization required
Gorakhpur,T0281,2024-02-02,0,-70,Low,0,Stable network
Pune,T1141,2025-12-29,0,-62,Low,1,Normal operation
Bengaluru,T0968,2023-04-13,5,-106,Low,1,Normal operation
Mangalore,T1449,2024-11-29,15,-61,High,5,Handoff instability
Cuttack,T0422,2023-04-30,24,-108,High,3,Weather impact
Kota,T1208,2023-04-03,8,-78,Low,4,Normal operation
Vijayawada,T1006,2023-05-22,2,-97,Low,0,Stable network
Ludhiana,T0973,2024-08-09,4,-104,Low,1,Normal operation
Prayagraj,T1287,2023-09-26,21,-72,High,8,Handoff instability
Prayagraj,T1412,2024-12-06,27,-103,High,8,Peak hour congestion
Amravati,T0690,2023-12-26,6,-65,Low,2,Low traffic
Tiruppur,T0558,2023-09-03,4,-81,Low,3,Stable network
Nanded,T0260,2025-04-09,9,-96,Medium,1,Stable network
Jamshedpur,T1429,2024-09-13,27,-114,High,7,Backhaul issue
Nagpur,T1131,2024-02-21,14,-98,Medium,2,Handoff instability
Firozabad,T0674,2025-11-30,16,-109,Medium,3,Temporary interference
Thane,T0359,2025-09-24,6,-79,Low,2,Stable network
Bareilly,T0294,2023-07-13,21,-67,High,8,Temporary interference
Aligarh,T0528,2023-03-01,23,-105,High,7,Moderate congestion
Dhanbad,T0312,2023-08-16,11,-109,Low,4,Moderate congestion
Jabalpur,T0139,2023-08-02,6,-86,Low,3,Low traffic
Dhanbad,T1078,2023-09-25,9,-95,Medium,0,Normal operation
Gaya,T1210,2023-05-31,14,-67,High,3,Moderate congestion
Siliguri,T0133,2025-05-23,0,-70,Low,0,Low traffic
Kanpur,T0307,2025-05-06,12,-87,Medium,2,Moderate congestion
Bhavnagar,T1249,2023-12-03,25,-97,High,5,Handoff instability
Siliguri,T1103,2023-08-30,7,-110,Low,2,Low traffic
Jaipur,T0456,2024-10-17,4,-112,Low,1,Low traffic
Indore,T0603,2024-10-21,7,-91,Low,2,Stable network
Bareilly,T1236,2023-03-29,9,-74,Low,5,Normal operation
Ujjain,T0615,2023-12-28,10,-78,Medium,3,Routine monitoring
Delhi,T0575,2025-10-25,6,-109,Low,1,Normal operation
Guntur,T0757,2023-06-03,11,-80,Medium,2,Temporary interference
Hubli-Dharwad,T0487,2025-08-11,6,-98,Low,0,Stable network
Jodhpur,T1282,2023-02-02,14,-107,Medium,4,Handoff instability
Gwalior,T0466,2023-03-09,19,-69,High,3,Moderate congestion
Hubli-Dharwad,T0720,2025-04-03,13,-94,Medium,2,Weather impact
Tiruppur,T1468,2024-01-31,8,-110,Low,0,Low traffic
Meerut,T0833,2023-01-27,4,-68,Low,2,Routine monitoring
Ujjain,T1149,2023-07-08,18,-112,Medium,3,Handoff instability
Noida,T0255,2024-09-02,28,-74,High,9,Fiber outage
Nellore,T1071,2023-03-10,0,-75,Low,1,Low traffic
Delhi,T1272,2024-09-03,18,-76,High,2,Temporary interference
Kolhapur,T1003,2023-02-25,8,-108,Medium,0,Stable network
Pune,T1263,2024-01-15,7,-88,Low,2,Normal operation
Delhi,T0482,2024-11-04,7,-82,Medium,1,Normal operation
Jalandhar,T0290,2023-04-02,8,-107,Low,1,Normal operation
Rourkela,T1399,2023-05-09,2,-63,Low,0,Low traffic
Jaipur,T1023,2025-08-06,9,-98,Low,1,Normal operation
Gurugram,T0861,2025-11-12,24,-108,High,5,Temporary interference
Gaya,T0917,2024-02-01,9,-108,Medium,0,Routine monitoring
Durgapur,T0579,2023-12-31,0,-69,Low,0,Low traffic
Ghaziabad,T0108,2025-04-20,22,-98,High,7,Weather impact
Prayagraj,T0157,2024-10-18,23,-68,High,8,Moderate congestion
Chennai,T1130,2023-10-29,9,-86,Medium,1,Normal operation
Erode,T0743,2023-07-24,11,-88,Medium,2,Temporary interference
Solapur,T0488,2024-11-04,9,-101,Medium,2,Low traffic
Jhansi,T0809,2023-11-17,8,-115,Medium,0,Low traffic
Gaya,T0541,2023-05-20,4,-111,Low,0,Stable network
Sangli,T0586,2023-11-24,8,-100,Medium,0,Low traffic
Patna,T1330,2023-03-10,11,-61,Medium,4,Weather impact
Dehradun,T1388,2024-12-04,8,-100,Low,1,Stable network
Bareilly,T0613,2025-08-19,10,-107,Medium,0,Normal operation
Bhopal,T0982,2023-12-01,5,-113,Low,0,Routine monitoring
Faridabad,T1259,2025-12-10,3,-102,Low,0,Low traffic
Amritsar,T0856,2025-08-24,21,-109,High,4,Moderate congestion
Erode,T0721,2024-11-25,1,-61,Low,0,Normal operation
Bhiwandi,T0951,2023-07-22,25,-99,High,5,Moderate congestion
Coimbatore,T0054,2024-12-29,9,-82,Low,4,Normal operation
Tiruchirappalli,T0141,2024-11-12,4,-95,Low,2,Routine monitoring
Jammu,T0421,2023-09-03,6,-109,Low,1,Routine monitoring
Vijayawada,T1257,2025-01-17,9,-83,Low,4,Stable network
Hyderabad,T0682,2024-02-08,6,-67,Low,2,Low traffic
Varanasi,T0214,2025-08-19,21,-88,High,6,Temporary interference
Visakhapatnam,T0482,2024-07-27,1,-79,Low,2,Low traffic
Gaya,T0484,2024-10-17,6,-108,Low,3,Normal operation
Kanpur,T0046,2024-01-02,6,-87,Low,0,Routine monitoring
Bhilai,T1286,2024-03-30,10,-63,Medium,3,Routine monitoring
Belgaum,T0370,2024-08-31,11,-101,Medium,0,Temporary interference
Jalandhar,T1057,2024-08-11,25,-82,High,6,Moderate congestion
Erode,T1176,2025-04-17,17,-80,High,4,Moderate congestion
Ajmer,T0120,2025-06-26,20,-99,High,2,Temporary interference
Aligarh,T0204,2023-08-29,8,-95,Low,5,Routine monitoring
Jaipur,T1164,2025-07-31,9,-81,Medium,1,Low traffic
Varanasi,T1392,2023-11-11,19,-88,High,5,Temporary interference
Hubli-Dharwad,T1494,2025-09-25,0,-83,Low,0,Normal operation
Saharanpur,T0275,2025-04-27,2,-81,Low,0,Normal operation
Jamnagar,T1291,2024-11-04,11,-70,Low,6,Moderate congestion
Thane,T1186,2024-07-07,8,-96,Medium,0,Routine monitoring
Belgaum,T1231,2025-08-11,20,-104,Medium,6,Moderate congestion
Howrah,T1373,2024-10-06,0,-71,Low,1,Low traffic
Amritsar,T1363,2025-07-04,10,-107,Medium,0,Stable network
Ranchi,T0734,2024-07-07,17,-74,High,5,Weather impact
Pimpri-Chinchwad,T0735,2024-09-02,0,-72,Low,0,Routine monitoring
Jalgaon,T0830,2025-10-22,9,-92,Medium,2,Routine monitoring
Navi Mumbai,T1329,2025-01-02,15,-93,High,2,Handoff instability
Kota,T1158,2024-07-03,32,-96,High,11,Peak hour congestion
Pimpri-Chinchwad,T0623,2024-09-13,7,-79,Low,2,Low traffic
Patna,T1201,2023-05-11,21,-94,High,5,Weather impact
Raipur,T1209,2023-12-09,12,-109,Low,3,Moderate congestion
Aurangabad,T0386,2024-05-30,26,-72,High,12,Backhaul issue
Nashik,T0714,2024-01-13,6,-76,Medium,2,Low traffic
Gurugram,T1000,2024-08-28,6,-92,Low,3,Stable network
Ajmer,T0182,2023-11-29,9,-109,Medium,1,Low traffic
Pune,T0802,2025-10-16,32,-115,High,8,Fiber outage
Hyderabad,T1499,2023-05-31,7,-89,Low,1,Stable network
Delhi,T0128,2025-02-17,4,-78,Medium,0,Low traffic
Udaipur,T0479,2025-08-03,6,-64,Low,2,Stable network
Jammu,T1435,2023-09-23,11,-99,Medium,3,Temporary interference
Saharanpur,T0963,2023-07-14,8,-83,Low,3,Stable network
Gurugram,T0783,2024-03-28,7,-99,Low,0,Low traffic
Thane,T0609,2024-05-01,0,-85,Low,0,Routine monitoring
Jaipur,T1382,2024-07-26,7,-75,Low,4,Routine monitoring
Chandigarh,T0979,2023-01-13,11,-70,Medium,5,Temporary interference
Solapur,T0153,2024-02-25,11,-115,Medium,1,Moderate congestion
Tiruppur,T0184,2023-10-07,7,-106,Low,4,Normal operation
Bhavnagar,T0683,2023-03-02,18,-62,High,3,Moderate congestion
Kota,T0205,2025-02-15,19,-95,High,5,Moderate congestion
Gulbarga,T0813,2024-05-18,26,-96,High,5,Network optimization required
Amritsar,T0923,2025-10-28,10,-103,Medium,1,Low traffic
Vadodara,T0700,2024-04-29,22,-108,High,4,Temporary interference
Noida,T1313,2023-09-26,7,-60,Medium,4,Stable network
Gorakhpur,T0214,2025-06-16,7,-92,Low,1,Routine monitoring
Solapur,T0770,2024-01-11,11,-112,Low,4,Temporary interference
Surat,T1218,2024-12-27,34,-112,High,10,Peak hour congestion
Ambattur,T0961,2024-10-09,20,-91,High,5,Weather impact
Raipur,T0078,2024-12-08,0,-61,Low,0,Stable network
Thane,T0253,2024-12-27,3,-68,Low,0,Normal operation
Asansol,T0893,2025-05-04,3,-94,Low,1,Stable network
Solapur,T1407,2024-12-08,1,-84,Low,0,Stable network
Bhiwandi,T0150,2024-10-22,1,-73,Low,0,Low traffic
Chennai,T1062,2025-02-25,7,-75,Medium,0,Low traffic
Srinagar,T0250,2024-10-14,25,-99,High,6,Handoff instability
Nagpur,T0808,2025-04-12,19,-81,High,6,Handoff instability
Jalandhar,T1354,2024-06-25,4,-69,Low,3,Normal operation
Amritsar,T0083,2024-05-05,4,-64,Low,2,Low traffic
Raipur,T0052,2023-09-26,5,-65,Low,4,Normal operation
Tirunelveli,T0857,2024-10-15,30,-83,High,10,Weak signal area
Ludhiana,T1469,2024-06-23,3,-85,Low,1,Routine monitoring
Bhilai,T0998,2023-01-01,6,-84,Low,1,Stable network
Coimbatore,T0534,2025-04-27,11,-88,Medium,3,Weather impact
Ghaziabad,T0238,2025-10-05,5,-92,Low,2,Normal operation
Chandigarh,T1438,2024-01-31,19,-83,High,6,Moderate congestion
Nellore,T0173,2025-04-30,3,-73,Low,3,Normal operation
Erode,T0581,2025-05-28,7,-95,Low,4,Stable network
Jabalpur,T0775,2025-04-30,0,-77,Low,0,Routine monitoring
Guntur,T1240,2024-11-01,13,-112,Medium,2,Handoff instability
Guwahati,T0483,2023-04-28,21,-114,High,4,Moderate congestion
Coimbatore,T0577,2025-07-19,5,-115,Low,0,Low traffic
Ulhasnagar,T1215,2025-06-25,15,-87,Medium,3,Temporary interference
Madurai,T0570,2023-02-27,13,-100,Medium,0,Moderate congestion
Kota,T0530,2024-05-19,5,-114,Low,0,Routine monitoring
Howrah,T0372,2023-04-22,6,-65,Low,3,Routine monitoring
Saharanpur,T0413,2025-02-14,2,-66,Low,0,Low traffic
Bhilai,T0754,2025-07-25,5,-68,Low,1,Low traffic
Bareilly,T1100,2025-10-15,1,-63,Low,1,Normal operation
Nagpur,T0803,2023-10-23,5,-76,Low,1,Normal operation
Mumbai,T0384,2025-08-20,5,-102,Low,0,Normal operation
Prayagraj,T0172,2025-04-14,1,-65,Low,0,Normal operation
Delhi,T1348,2024-04-24,11,-115,Low,2,Temporary interference
Dhanbad,T1472,2025-01-01,6,-86,Low,0,Normal operation
Bhopal,T0813,2025-09-11,14,-82,Medium,6,Weather impact
Faridabad,T0832,2023-08-08,5,-115,Low,0,Low traffic
Patna,T1117,2024-06-05,0,-70,Low,0,Low traffic
